Programming name,Short name,Long name,Long name (FR),Category,Subcategory,Set,Unit_ref,,
EHP_H2_GRID,H2 Grid EHP,Hydrogen Grid at Extra High Pressure,Réseau hydrogène à très haute pression,Infrastructure Grid,Hydrogen,,,,
EHP_NG_GRID,NG Grid EHP,Natural Gas Grid at Extra High Pressure,Réseau de gaz naturel à très haute pression,Infrastructure Grid,Natural Gas,,,,
EHV_GRID,Grid EHV,Electric Grid at Extra High Voltage,Réseau électrique à très haute tension,Infrastructure Grid,Electricity,,,,
ELEC_EXPORT,Electricity exports,Electricity exports,Exportations d'électricité,Export,Export,,kWh,,
ELEC_STO,Elec. Storage,Electricity Storage,Stockage d'électricité,Electricity Storage,Electricity,,kW,,
ELECTRICITY_EHV,Electricity import,Electricity import,Électricité (très haute tension),Resource,Resource,,kWh,,
ELECTRICITY_HV,Electricity (high voltage),Electricity (high voltage),Électricité (haute tension),Flow,Flow,,kWh,,
ELECTRICITY_LV,Electricity (low voltage),Electricity (low voltage),Électricité (basse tension),Flow,Flow,,kWh,,
ELECTRICITY_MV,Electricity (medium voltage),Electricity (medium voltage),Électricité (moyenne tension),Flow,Flow,,kWh,MCHF/GWkm,
EOR,EOR,Enhanced Oil Recovery,Récupération assistée du pétrole,CCUS,Sequestration,,ktCO2_eq/h,,
ETHANE,Ethane,Ethane,Éthane,Resource,Resource,,kWh,,
ETHANE_CRACKING,Ethane Cracking,Ethane Cracking Process,Procédé de craquage de l'éthane,Bioprocesses,Chemical,,kW,,
ETHANE_OXIDATION,Ethane Oxidation,Ethane Oxidation Process,Procédé d'oxydation de l'éthane,Bioprocesses,Chemical,,kW,,
ETHANE_TO_ETHYLENE,Ethane to Ethylene,Conversion of Ethane to Ethylene,Conversion de l'éthane en éthylène,Bioprocesses,Chemical,,kW,,
ETHANOL,Ethanol,Ethanol,Éthanol,Resource,Resource,,kWh,,
ETHANOL_TO_JETFUELS,Ethanol to Jetfuels,Conversion of Ethanol to Jet Fuels,Conversion de l'éthanol en carburant aviation,Bioprocesses,Chemical,,kW,,
ETHYLBENZENE,Ethylbenzene,Ethylbenzene,Éthylbenzène,Resource,Resource,,kWh,,
ETHYLENE,Ethylene,Ethylene,Éthylène,Resource,Resource,,kWh,,
ETHYLENE_POLYMERIZATION,Ethylene Polym.,Ethylene Polymerization,Polymérisation de l'éthylène,Bioprocesses,Chemical,,kW,,
FOOD_PROD,Food Prod.,Food Production,Production alimentaire,Specific sectors,Food,,kt/h,,
FOOD_PROD_HP,Food Prod. HP,Food Production with Heat Pump,Production alimentaire avec pompe à chaleur,Specific sectors,Food,,kt/h,,
FOOD_PROD_HR,Food Prod. HR,Food Production with Heat Recovery,Production alimentaire avec récupération de chaleur,Specific sectors,Food,,kt/h,,
FT,FT,BioDiesel Production via Fischer-Tropsch Synthesis,Production de biodiesel par synthèse Fischer-Tropsch,Bioprocesses,Synfuel,,kW,,
GASIFICATION_H2,Gasif. H2,Hydrogen Production via Wood Gasification,Production d'hydrogène par gazéification du bois,Infrastructure,Hydrogen,,kW,,
GASIFICATION_SNG,Gasif. SNG,Synthetic Natural Gas Production via Wood Gasification,Production de gaz naturel synthétique par gazéification du bois,Infrastructure,Natural Gas,,kW,,
GASO_STO,Gasoline to Storage,Gasoline to Storage,Essence vers stockage,Chemical Storage,Fuel,,kW,,
GASOLINE,Gasoline,Gasoline,Essence,Resource,Resource,,kWh,,
GEOTHERMAL,Geothermal,Geothermal Energy Utilization,Valorisation de l'énergie géothermique,Electricity Production,Geothermal,,kW,,
GRID,Grid,Electricity Grid,Réseau électrique,Infrastructure Grid,Electricity,,,,
H2_CCGT,Combine Cycle Gas Turbine H2,Combine Cycle Gas Turbine Hydrogen,Turbine à gaz à cycle combiné à l'hydrogène,Electricity Production,Hydrogen,,kW,,
H2_COMP_100,H2 Comp. AP-100,Hydrogen Compression from Athmospheric Pressure to 100 bar,Compression d'hydrogène de la pression atmosphérique à 100 bar,Infrastructure,Hydrogen,,kW,,
H2_COMP_100_350,H2 Comp. 100-350,Hydrogen Compression from 100 bar to 350 bar,Compression d'hydrogène de 100 bar à 350 bar,Infrastructure,Hydrogen,,kW,MCHF/GWkm,
H2_COMP_200,H2 Comp. AP-200,Hydrogen Compression from Athmospheric Pressure to 200 bar,Compression d'hydrogène de la pression atmosphérique à 200 bar,Infrastructure,Hydrogen,,kW,MCHF/GWkm,
H2_COMP_200_350,H2 Comp. 200-350,Hydrogen Compression from 200 bar to 350 bar,Compression d'hydrogène de 200 bar à 350 bar,Infrastructure,Hydrogen,,kW,,
H2_COMP_HE,H2 Comp. HE,Hydrogen Compression from High Pressure to Extra High Pressure,Compression d'hydrogène de haute pression à très haute pression,Infrastructure,Hydrogen,,kW,,
H2_COMP_LM,H2 Comp. LM,Hydrogen Compression from Low Pressure to Medium Pressure,Compression d'hydrogène de basse pression à pression moyenne,Infrastructure,Hydrogen,,kW,MCHF/GWkm,
H2_COMP_MH,H2 Comp. MH,Hydrogen Compression from Medium Pressure to High Pressure,Compression d'hydrogène de pression moyenne à haute pression,Infrastructure,Hydrogen,,kW,,
H2_EHP,Hydrogen import,Hydrogen,Hydrogène,Resource,Resource,,kWh,,
H2_HP,Hydrogen import,Hydrogen,Hydrogène,Resource,Resource,,kWh,,
H2_MP,Hydrogen import,Hydrogen,Hydrogène,Resource,Resource,,kWh,,
H2_LP,Hydrogen import,Hydrogen,Hydrogène,Resource,Resource,,kWh,,
H2_EXP_EH,H2 Exp. EH,Hydrogen Expansion from Extra High Pressure to High Pressure,Détente d'hydrogène de très haute pression à haute pression,Infrastructure,Hydrogen,,kW,,
H2_EXP_EH_COGEN,H2 Exp. Cogen. EH,Hydrogen Expansion with Cogeneration from Extra High Pressure to High Pressure,Détente d'hydrogène avec cogénération de très haute pression à haute pression,Infrastructure,Hydrogen,,kW,,
H2_EXP_HM,H2 Exp. HM,Hydrogen Expansion from High Pressure to Medium Pressure,Détente d'hydrogène de haute pression à pression moyenne,Infrastructure,Hydrogen,,kW,,STORAGE_TECH
H2_EXP_HM_COGEN,H2 Exp. Cogen. HM,Hydrogen Expansion with Cogeneration from High Pressure to Medium Pressure,Détente d'hydrogène avec cogénération de haute pression à pression moyenne,Infrastructure,Hydrogen,,kW,,
H2_EXP_ML,H2 Exp. ML,Hydrogen Expansion from Medium Pressure to Low Pressure,Détente d'hydrogène de pression moyenne à basse pression,Infrastructure,Hydrogen,,kW,,
H2_EXP_ML_COGEN,H2 Exp. Cogen. ML,Hydrogen Expansion with Cogeneration from Medium Pressure to Low Pressure,Détente d'hydrogène avec cogénération de pression moyenne à basse pression,Infrastructure,Hydrogen,,kW,,
H2_EXPANSION_100,H2 Exp. 100,Hydrogen Compression from 100 bar to Athmospheric Pressure,Détente d'hydrogène de 100 bar à la pression atmosphérique,Infrastructure,Hydrogen,,kW,,
H2_EXPANSION_200,H2 Exp. 200,Hydrogen Compression from 200 bar to Athmospheric Pressure,Détente d'hydrogène de 200 bar à la pression atmosphérique,Infrastructure,Hydrogen,,kW,,
H2_Haber_Bosch,Haber Bosch Process,Haber Bosch Process,Procédé Haber-Bosch,Infrastructure,Amonia,,kW,,
H2_NG_CCGT,Combined Cycle Gas Turbine H2 & NG,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Turbine à gaz à cycle combiné mélange hydrogène et gaz naturel,Electricity Production,Hydrogen,,kW,,
H2_NG_CCGT_CCS,Combined Cycle Gas Turbine H2 & NG CC,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Turbine à gaz à cycle combiné mélange hydrogène et gaz naturel avec captage de CO2,Electricity Production,Hydrogen,,kW,,
H2_SNG_CCGT,Combined Cycle Gas Turbine H2 & SNG,Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Turbine à gaz à cycle combiné mélange hydrogène et gaz naturel synthétique,Electricity Production,Hydrogen,,kW,,
H2_SNG_CCGT_CCS,Combined Cycle Gas Turbine H2 & SNG CC,Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Turbine à gaz à cycle combiné mélange hydrogène et gaz naturel synthétique avec captage de CO2,Electricity Production,Hydrogen,,kW,,
H2_STO,H2 to Storage,Hydrogen to Storage,Hydrogène vers stockage,Chemical Storage,Hydrogen,,kW,,
HEAT_HIGH_T,Heat (high temperature),Heat (high temperature),Chaleur (haute température),Flow,Flow,,kWh,,
HEAT_LOW_T_DECEN,Heat (low temperature),Heat (low temperature),Chaleur (basse température),Flow,Flow,,kWh,,
HFO,Heavy fuel oil,Boat fuel,Carburant navires,Resource,Resource,,kWh,,
HP_H2_GRID,H2 Grid HP,Hydrogen Grid at High Pressure,Réseau hydrogène à haute pression,Infrastructure Grid,Hydrogen,,,,
HP_NG_GRID,NG Grid HP,Natural Gas Grid at High Pressure,Réseau de gaz naturel à haute pression,Infrastructure Grid,Natural Gas,,,,
HT_LT,HT to LT,High Temperature to Low Temperature Conversion,Conversion haute température en basse température,Infrastructure,Heat,,kW,,
HT_LT_DEC,HT to LT,High Temperature to Low Temperature Conversion in Decentralized Systems,Conversion haute température en basse température dans les systèmes décentralisés,Infrastructure,Heat,,kW,,
HV_GRID,Grid HV,Electric Grid at High Voltage,Réseau électrique à haute tension,Infrastructure Grid,Electricity,,,,
HYDRO_DAM,Hydro Dam,Existing Hydroelectric Dam,Barrages hydroélectriques existants,Electricity Production,Hydro,,kW,,
HYDRO_GAS,Hydroth. Gasification,Hydrothermal Gasification,Gazéification hydrothermale,Infrastructure,Synfuel,,kW,,
HYDRO_GAS_CHP,Hydroth. Gasification CHP,Hydrothermal Gasification with Combined Heat and Power,Gazéification hydrothermale avec cogénération,Infrastructure,Electricity,,kW,,
HYDRO_RIVER,Hydro River,Existing Hydroelectric Power from River Flow,Hydroélectricité au fil de l'eau existante,Electricity Production,Hydro,,kW,,
HYDRO_STORAGE,Hydro Storage,Hydraulic Storage,Stockage hydraulique,Electricity Storage,Electricity,CA,kWh,,
IND_BOILER_BIOGAS,Ind Boiler BioGas,Industrial Boiler with BioGas Combustion,Chaudière industrielle à combustion de biogaz,Industrial Heating,Boiler,,kW,,
IND_BOILER_BIOOIL,Ind Boiler BioOil,Industrial Boiler with BioOil Combustion,Chaudière industrielle à combustion de biohuile,Industrial Heating,Boiler,,kW,,
IND_BOILER_COAL,Ind Boiler Coal,Industrial Boiler with Coal Combustion,Chaudière industrielle à combustion de charbon,Industrial Heating,Boiler,,kW,,
IND_BOILER_GAS,Ind Boiler Gas,Industrial Boiler with Gas Combustion,Chaudière industrielle à combustion de gaz,Industrial Heating,Boiler,,kW,,
IND_BOILER_OIL,Ind Boiler Oil,Industrial Boiler with Oil Combustion,Chaudière industrielle à combustion de mazout,Industrial Heating,Boiler,,kW,MCHF/GWkm,
IND_BOILER_WASTE,Ind Boiler Waste,Industrial Boiler with Waste Combustion,Chaudière industrielle à combustion de déchets,Industrial Heating,Boiler,,kW,MCHF/GWkm,
IND_BOILER_WASTE_CC,Ind Boiler Waste CC,Industrial Boiler with Carbon Capture using Waste Combustion,Chaudière industrielle à combustion de déchets avec captage de CO2,Industrial Heating,Boiler,,kW,,
IND_BOILER_WOOD,Ind Boiler Wood,Industrial Boiler with Wood Combustion,Chaudière industrielle à combustion de bois,Industrial Heating,Boiler,,kW,,
IND_COGEN_BIOGAS,Ind Cogen BioGas,Industrial Cogeneration with BioGas Combustion,Cogénération industrielle à combustion de biogaz,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_GAS,Ind Cogen Gas,Industrial Cogeneration with Gas Combustion,Cogénération industrielle à combustion de gaz,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_WASTE,Ind Cogen Waste,Industrial Cogeneration using Waste Combustion,Cogénération industrielle à combustion de déchets,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_WASTE_CC,Ind Cogen Waste CC,Industrial Cogeneration with Carbon Capture using Waste Combustion,Cogénération industrielle à combustion de déchets avec captage de CO2,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_WOOD,Ind Cogen Wood,Industrial Cogeneration with Wood Combustion,Cogénération industrielle à combustion de bois,Industrial Heating,Cogeneration,,kW,,
IND_DIRECT_ELEC,Ind Direct Elec,Industrial Direct Electricity Usage,Utilisation directe d'électricité industrielle,Industrial Heating,Electricity,,kW,,
IND_HP_ELEC,Ind HP Elec,Industrial Heat Pump Electricity Usage,Pompe à chaleur électrique industrielle,Industrial Heating,Electricity,,kW,,
JETFUEL,Jetfuel,Jetfuel,Carburant aviation,Resource,Resource,,kWh,,
LCV_BIODIESEL_B100,LCV BioDiesel,100% BioDiesel-Powered Light Commercial Vehicle,Véhicule utilitaire léger au biodiesel 100%,Freight transport,Road,CA,tkm/h,MCHF/GWkm,
LCV_BIODIESEL_B20,LCV BioDiesel 20%,20% BioDiesel-Powered Light Commercial Vehicle,Véhicule utilitaire léger au biodiesel 20%,Freight transport,Road,CA,tkm/h,MCHF/GWkm,
LCV_CNG,LCV CNG,Compressed Natural Gas-Powered Light Commercial Vehicle,Véhicule utilitaire léger au gaz naturel comprimé,Freight transport,Road,CA,tkm/h,MCHF/GWkm,
LCV_CSNG,LCV CSNG,Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Véhicule utilitaire léger au gaz naturel synthétique comprimé,Freight transport,Road,CA,tkm/h,,
LCV_DIESEL,LCV Diesel,Diesel-Powered Light Commercial Vehicle,Véhicule utilitaire léger au diesel,Freight transport,Road,CA,tkm/h,,
LCV_ETOH_E10,LCV Ethanol 10%,10% Ethanol-Powered Light Commercial Vehicle,Véhicule utilitaire léger à l'éthanol 10%,Freight transport,Road,CA,tkm/h,,
LCV_ETOH_E85,LCV Ethanol 85%,85% Ethanol-Powered Light Commercial Vehicle,Véhicule utilitaire léger à l'éthanol 85%,Freight transport,Road,CA,tkm/h,,
LCV_EV,LCV Electric,Electric-Powered Light Commercial Vehicle,Véhicule utilitaire léger électrique,Freight transport,Road,CA,tkm/h,,
LCV_FC_CH4,LCV Methane FC,Methane Fuel Cell-Powered Light Commercial Vehicle,Véhicule utilitaire léger à pile à combustible méthane,Freight transport,Road,CA,tkm/h,,
LCV_FC_H2,LCV Hydrogen FC,Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Véhicule utilitaire léger à pile à combustible hydrogène,Freight transport,Road,CA,tkm/h,,
LCV_GASOLINE,LCV Gasoline,Gasoline-Powered Light Commercial Vehicle,Véhicule utilitaire léger à essence,Freight transport,Road,CA,tkm/h,,
LCV_PHEV_DIESEL,LCV Diesel,Diesel-Powered Light Commercial Vehicle,Véhicule utilitaire léger au diesel,Freight transport,Road,CA,tkm/h,,
LCV_PHEV_GASOLINE,LCV Plug-in Hybrid Gasoline,Plug-in Hybrid Gasoline-Powered Light Commercial Vehicle,Véhicule utilitaire léger hybride rechargeable à essence,Freight transport,Road,,tkm/h,,
LCV_PROPANE,LCV Propane,Propane-Powered Light Commercial Vehicle,Véhicule utilitaire léger au propane,Freight transport,Road,CA,tkm/h,,
LFO,Light fuel oil,Light fuel oil,Fioul léger,Resource,Resource,,kWh,,
LNG,Liquified natural gas,Liquified natural gas,Gaz naturel liquéfié,Resource,Resource,,kWh,,
LP_H2_GRID,H2 Grid LP,Hydrogen Grid at Low Pressure,Réseau hydrogène à basse pression,Infrastructure Grid,Hydrogen,,,,
LP_NG_GRID,NG Grid LP,Natural Gas Grid at Low Pressure,Réseau de gaz naturel à basse pression,Infrastructure Grid,Natural Gas,,,,
LT_DEC_WH,LT DEC WH,Low Temperature Decentralized Waste Heat,Chaleur perdue basse température décentralisée,Waste Heat,Heat,,kW,,
LT_DHN_WH,LT DHN WH,Low Temperature District Heating Network Waste Heat,Chaleur perdue basse température du réseau de chaleur urbain,Waste Heat,Heat,,kW,,
LV_GRID,Grid LV,Electric Grid at Low Voltage,Réseau électrique à basse tension,Infrastructure Grid,Electricity,,,,
METATHESIS_PROPYLENE,Metathesis Propylene,Propylene Production via Metathesis,Production de propylène par métathèse,Bioprocesses,Chemical,,kW,,
METHANATION,Methanation,Methanation Process,Procédé de méthanation,Bioprocesses,Synfuel,,kW,,
METHANE_TO_METHANOL,Methane to Methanol,Conversion of Methane to Methanol,Conversion du méthane en méthanol,Specific sectors,Chemical,,kt/h,,
METHANOL,Methanol,Methanol,Méthanol,Resource,Resource,,kWh,,
METHANOL_CARBONYLATION,Methanol Cabonylation,Methanol Cabonylation Process,Procédé de carbonylation du méthanol,Specific sectors,Chemical,,kt/h,,
METHANOL_FT,Methanol Fischer-Tropsch,Methanol Synthesis via Fischer-Tropsch Process,Synthèse de méthanol par le procédé Fischer-Tropsch,Specific sectors,Chemical,,kt/h,,
METHANOL_TO_AROMATICS,Methanol to Aromatics,Conversion of Methanol to Aromatic Compounds,Conversion du méthanol en composés aromatiques,Bioprocesses,Chemical,,kW,,
METHANOL_TO_OLEFINS,Methanol to Olefins,Conversion of Methanol to Olefinic Compounds,Conversion du méthanol en composés oléfiniques,Bioprocesses,Chemical,,kW,,
MINES_STORAGE,Mines Storage,Sequestration of CO2 in Mines,Séquestration du CO2 dans les mines,CCUS,Sequestration,,ktCO2_eq/h,,
MOB_FREIGHT_LCV,Freight mobility (light commercial vehicles),Freight mobility (light commercial vehicles),Mobilité fret (véhicules utilitaires légers),Flow,Flow,,tkm,,
MOB_FREIGHT_SEMI,Freight mobility (semi),Freight mobility (semi),Mobilité fret (semi-remorques),Flow,Flow,,tkm,,
MOB_FREIGHT_TRAIN,Freight mobility (trains),Freight mobility (trains),Mobilité fret (trains),Flow,Flow,,tkm,,
MOB_FREIGHT_TRUCK,Freight mobility (trucks),Freight mobility (trucks),Mobilité fret (camions),Flow,Flow,,tkm,,
MOB_PRIVATE_CAR,Private mobility (cars),Private mobility (cars),Mobilité privée (voitures),Flow,Flow,,pkm,,
MOB_PRIVATE_SUV,Private mobility (SUVs),Private mobility (SUVs),Mobilité privée (VUS),Flow,Flow,,pkm,,
MOB_PUBLIC_BUS,Public mobility (buses),Public mobility (buses),Mobilité publique (autobus),Flow,Flow,,pkm,,
MOB_PUBLIC_COACH,Public mobility (coaches),Public mobility (coaches),Mobilité publique (autocars),Flow,Flow,,pkm,,
MOB_PUBLIC_TRAIN,Public mobility (trains),Public mobility (trains),Mobilité publique (trains),Flow,Flow,,pkm,,
MP_H2_GRID,H2 Grid MP,Hydrogen Grid at Medium Pressure,Réseau hydrogène à pression moyenne,Infrastructure Grid,Hydrogen,,,,
MP_NG_GRID,NG Grid MP,Natural Gas Grid at Medium Pressure,Réseau de gaz naturel à pression moyenne,Infrastructure Grid,Natural Gas,,,,
MV_GRID,Grid MV,Electric Grid at Medium Voltage,Réseau électrique à moyenne tension,Infrastructure Grid,Electricity,,,,
NEW_HYDRO_DAM,New Hydro Dam,New Hydroelectric Dam,Nouveaux barrages hydroélectriques,Electricity Production,Hydro,,kW,,
NEW_HYDRO_RIVER,New Hydro River,New Hydroelectric Power from River Flow,Nouvelle hydroélectricité au fil de l'eau,Electricity Production,Hydro,,kW,,
NEW_WIND_ONSHORE,Wind Onshore,New Wind Energy Onshore,Nouvelles éoliennes terrestres,Electricity Production,Wind,,kW,,
NG_COMP_HE,NG Comp. HE,Natural Gas Compression from High Pressure to Extra High Pressure,Compression de gaz naturel de haute pression à très haute pression,Infrastructure,Natural Gas,,kW,,
NG_COMP_LM,NG Comp. LM,Natural Gas Compression from Low Pressure to Medium Pressure,Compression de gaz naturel de basse pression à pression moyenne,Infrastructure,Natural Gas,,kW,,
NG_COMP_MH,NG Comp. MH,Natural Gas Compression from Medium Pressure to High Pressure,Compression de gaz naturel de pression moyenne à haute pression,Infrastructure,Natural Gas,,kW,,
NG_EHP,Natural gas,Natural gas,Gaz naturel,Resource,Resource,,kWh,,
NG_HP,Natural gas,Natural gas,Gaz naturel,Resource,Resource,,kWh,,
NG_MP,Natural gas,Natural gas,Gaz naturel,Resource,Resource,,kWh,,
NG_LP,Natural gas,Natural gas,Gaz naturel,Resource,Resource,,kWh,,
NG_EXP_EH,NG Exp. EH,Natural Gas Expansion from Extra High Pressure to High Pressure,Détente de gaz naturel de très haute pression à haute pression,Infrastructure,Natural Gas,,kW,,
NG_EXP_EH_COGEN,NG Exp. Cogen. EH,Natural Gas Expansion with Cogeneration from Extra High Pressure to High Pressure,Détente de gaz naturel avec cogénération de très haute pression à haute pression,Infrastructure,Natural Gas,,kW,,
NG_EXP_HM,NG Exp. HM,Natural Gas Expansion from High Pressure to Medium Pressure,Détente de gaz naturel de haute pression à pression moyenne,Infrastructure,Natural Gas,,kW,,
NG_EXP_HM_COGEN,NG Exp. Cogen. HM,Natural Gas Expansion with Cogeneration from High Pressure to Medium Pressure,Détente de gaz naturel avec cogénération de haute pression à pression moyenne,Infrastructure,Natural Gas,,kW,,
NG_EXP_ML,NG Exp. ML,Natural Gas Expansion from Medium Pressure to Low Pressure,Détente de gaz naturel de pression moyenne à basse pression,Infrastructure,Natural Gas,,kW,,
NG_EXP_ML_COGEN,NG Exp. Cogen. ML,Natural Gas Expansion with Cogeneration from Medium Pressure to Low Pressure,Détente de gaz naturel avec cogénération de pression moyenne à basse pression,Infrastructure,Natural Gas,,kW,,
NG_GEN,Natural Gas Generator,Natural Gas Powered Generator,Groupe électrogène au gaz naturel,Electricity Production,Thermal,,kW,,
NG_PYROLYSIS_PLASMA,Plasma Natural Gas Pyrolysis,Plasma Natural Gas Pyrolysis,Pyrolyse plasma du gaz naturel,Hydrogen Production,Hydrogen,,kW,,
NG_PYROLYSIS_THERMAL,Thermal Natural Gas Pyrolysis,Thermal Natural Gas Pyrolysis,Pyrolyse thermique du gaz naturel,Hydrogen Production,Hydrogen,,kW,,
NG_REFORMING,NG Reforming,Natural Gas Reforming,Reformage du gaz naturel,Infrastructure,Natural Gas,,kW,,
NG_STO,NG to Storage,Natural Gas to Storage,Gaz naturel vers stockage,Chemical Storage,Natural Gas,,kW,,
NUCLEAR,Nuclear,Nuclear Power Generation,Production d'électricité nucléaire,Electricity Production,Nuclear,,kW,,
OCGT_BIOGAS_LARGE,OCGT BioGas Large,Open Cycle BioGas Turbine 243 MW,Turbine à biogaz à cycle ouvert 243 MW,Electricity Production,Thermal,,kW,,
OCGT_BIOGAS_SMALL,OCGT BioGas Small,Open Cycle BioGas Turbine 100 MW,Turbine à biogaz à cycle ouvert 100 MW,Electricity Production,Thermal,,kW,,
OCGT_LARGE,OCGT Large,Open Cycle Gas Turbine 243 MW,Turbine à gaz à cycle ouvert 243 MW,Electricity Production,Thermal,,kW,,
OCGT_SMALL,OCGT Small,Open Cycle Gas Turbine 100 MW,Turbine à gaz à cycle ouvert 100 MW,Electricity Production,Thermal,,kW,,
PAFC,PAFC,Phosphoric Acid Fuel Cell,Pile à combustible à acide phosphorique,Electricity Production,Hydrogen,,kW,,
PAFC_OG,PAFC OG,Phosphoric Acid Fuel Cell Off-Grid,Pile à combustible à acide phosphorique hors réseau,Electricity Production,Hydrogen,,kW,,
PAPER,Paper,Paper,Papier,Flow,Flow,,kt,,
PAPER_MAKING,Paper Making,Paper Production,Production de papier,Specific sectors,Paper,,kt/h,,
PAPER_MAKING_HP,Paper Making HP,Paper Production with Heat Pump,Production de papier avec pompe à chaleur,Specific sectors,Paper,,kt/h,,
PAPER_MAKING_HR,Paper Making HR,Paper Production with Heat Recovery,Production de papier avec récupération de chaleur,Specific sectors,Paper,,kt/h,,
PE,Polyethylene,Polyethylene,Polyéthylène,Resource,Resource,,kt,,
PEM_ELECTROLYSIS,PEM Electrolysis,Proton Exchange Membrane Electrolysis,Électrolyse à membrane échangeuse de protons,Bioprocesses,Hydrogen,,kW,,
PEMEC_OG,PEM Electrolysis OG,Proton Exchange Membrane Electrolysis Off-Grid,Électrolyse à membrane échangeuse de protons hors réseau,Hydrogen Production,Hydrogen,,kW,,
PEMFC,PEM FC,Proton Exchange Membrane Fuel Cell,Pile à combustible à membrane échangeuse de protons,Electricity Production,Hydrogen,,kW,,
PEMFC_OG,PEM FC OG,Proton Exchange Membrane Fuel Cell Off-Grid,Pile à combustible à membrane échangeuse de protons hors réseau,Electricity Production,Hydrogen,,kW,,
PET,Polyethylene terephthalate,Polyethylene terephthalate,Polyéthylène téréphtalate,Resource,Resource,,kt,,
PET_FORMATION,PET Formation,Polyethylene Terephthalate Formation,Formation de polyéthylène téréphtalate,Specific sectors,Chemical,,kt/h,,
PHENOL,Phenol,Phenol,Phénol,Resource,Resource,,kt,,
PLANE,Plane,Airplane,Avion,Public Mobility,Air,,pkm/h,,
PLANE_FREIGHT,Plane Freight,Jet Fuel-Powered Freight Plane,Avion cargo au carburéacteur,Freight transport,Air,CA,tkm/h,,
PLANE_FREIGHT_BIO,Bio-Jet Fuel-Powered Freight Plane,Bio-Jet Fuel-Powered Freight Plane,Avion cargo au biocarburant,Freight transport,Air,,tkm/h,,
PLANE_LH,Plane long haul,Jet Fuel-Powered Long Haul Passenger Plane ,Avion long-courrier au carburéacteur,Public Mobility,Air,,pkm/h,,
PLANE_LH_BIO,Bio-Jet Fuel-Powered Long Haul Passenger Plane,Bio-Jet Fuel-Powered Long Haul Passenger Plane,Avion long-courrier au biocarburant,Public Mobility,Air,,pkm/h,,
PLANE_SH,Plane short haul,Jet Fuel-Powered Passenger Plane,Avion au carburéacteur,Public Mobility,Air,,pkm/h,,
PLANE_SH_BIO,Bio-Jet Fuel-Powered Short Haul Passenger Plane,Bio-Jet Fuel-Powered Passenger Plane,Avion au biocarburant,Public Mobility,Air,,pkm/h,,
POLYPROPYLENE_PP,Polypropylene PP,Polypropylene Production,Production de polypropylène,Specific sectors,Chemical,,kt/h,,
PP,Polypropylene,Polypropylene,Polypropylène,Resource,Resource,,kt,,
PROPANE,Propane,Propane,Propane,Resource,Resource,,kt,,
PROPYLENE,Propylene,Propylene,Propylène,Resource,Resource,,kt,,
PS,Polystyrene,Polystyrene,Polystyrène,Resource,Resource,,kt,,
PUMPED_HYDRO,Pumped Hydro,Pumped Hydro Power Plant,Centrale hydroélectrique par pompage-turbinage,Electricity Production,Hydro,,kW,,
PV_GROUND,PV_GROUND,Open Ground Photovoltaic Solar Energy,Énergie solaire photovoltaïque au sol,Electricity Production,Solar,,kW,,
PV_ROOF,PV_ROOF,Slanted-Roof Photovoltaic Solar Energy,Énergie solaire photovoltaïque sur toit incliné,Electricity Production,Solar,,kW,,
PVC,Polyvinyl chloride,Polyvinyl chloride,Chlorure de polyvinyle,Resource,Resource,,kt,,
PVC_FORMATION,PVC Formation,Polyvinyl Chloride Formation,Formation de chlorure de polyvinyle,Specific sectors,Chemical,,kt/h,,
PYROLYSIS,Pyrolysis,Pyrolysis Process,Procédé de pyrolyse,Bioprocesses,Synfuel,,kW,,
SCHOOLBUS_BIODIESEL_B100,School Bus BioDiesel,100% BioDiesel-Powered School Bus,Autobus scolaire au biodiesel 100%,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_BIODIESEL_B20,School Bus BioDiesel 20%,20% BioDiesel-Powered School Bus,Autobus scolaire au biodiesel 20%,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_BIOETOH_E10,School Bus BioEthanol 10%,10% BioEthanol-Powered School Bus,Autobus scolaire au bioéthanol 10%,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_CNG,School Bus CNG,Compressed Natural Gas-Powered School Bus,Autobus scolaire au gaz naturel comprimé,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_CSNG,School Bus CSNG,Compressed Synthetic Natural Gas-Powered School Bus,Autobus scolaire au gaz naturel synthétique comprimé,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_DIESEL,School Bus Diesel,Diesel-Powered School Bus,Autobus scolaire au diesel,Public Mobility,Road,CA,pkm/h,,
